nu,CH4/x=0.001/T=253K/P=0.53atm/L=100000cm
5992.0,0.0
5992.01,0.182116544037
5992.02,0.162517494674
5992.03,0.142154957748
5992.04,0.1235590585
5992.05,0.108520600811
5992.06,0.0982448850387
5992.07,0.0927323649302
5992.08,0.0920878257057
5992.09,0.0967104180898
5992.1,0.105020216266
5992.11,0.111284735771
5992.12,0.10922227433
5992.13,0.0993391861785
5992.14,0.0878441612364
5992.15,0.0797780156687
5992.16,0.0769072560613
5992.17,0.0793200232511
5992.18,0.0864256075113
5992.19,0.0962103831525
5992.2,0.104273438286
5992.21,0.106029136775
5992.22,0.101013395177
5992.23,0.0926778125568
5992.24,0.0846232633698
5992.25,0.0786185795078
5992.26,0.0749356680669
5992.27,0.0731957007763
5992.28,0.072671877921
5992.29,0.0726841304596
5992.3,0.0730929045531
5992.31,0.074253807668
5992.32,0.0763755726658
5992.33,0.0794690687746
5992.34,0.0838468569343
5992.35,0.0897336904488
5992.36,0.096388810028
5992.37,0.102741113318
5992.38,0.109359628348
5992.39,0.118324606507
5992.4,0.131237818458
5992.41,0.148464750271
5992.42,0.170182978773
5992.43,0.198430793163
5992.44,0.237878507418
5992.45,0.294960241796
5992.46,0.376810570065
5992.47,0.486935798602
5992.48,0.612410186484
5992.49,0.713459332167
5992.5,0.752049789058
5992.51,0.743910789258
5992.52,0.747554270233
5992.53,0.808532255783
5992.54,0.932376474269
5992.55,1.07433363879
5992.56,1.14724135585
5992.57,1.09049872267
5992.58,0.938394233823
5992.59,0.777024490129
5992.6,0.662564274452
5992.61,0.60627539572
5992.62,0.592579106511
5992.63,0.59225243786
5992.64,0.583148937124
5992.65,0.567313869947
5992.66,0.554704774971
5992.67,0.541519143744
5992.68,0.515384440935
5992.69,0.468451316212
5992.7,0.404385963247
5992.71,0.338328193196
5992.72,0.283862121209
5992.73,0.243448995164
5992.74,0.21210784988
5992.75,0.184834769992
5992.76,0.16027010903
5992.77,0.139731910157
5992.78,0.124278941794
5992.79,0.113637091687
5992.8,0.107000238149
5992.81,0.10373072365
5992.82,0.10352765275
5992.83,0.106331723116
5992.84,0.11194350866
5992.85,0.119317613606
5992.86,0.12654790887
5992.87,0.132490893985
5992.88,0.138226402507
5992.89,0.146814765146
5992.9,0.162057402059
5992.91,0.187772176618
5992.92,0.228579633294
5992.93,0.29082813786
5992.94,0.380287668975
5992.95,0.491304704754
5992.96,0.592207406478
5992.97,0.641078818104
5992.98,0.631024693164
5992.99,0.583772900985
5993.0,0.513007136753
5993.01,0.431082248072
5993.02,0.353637257125
5993.03,0.287907836514
5993.04,0.23495705719
5993.05,0.195182110824
5993.06,0.167885712216
5993.07,0.150734278843
5993.08,0.140223429524
5993.09,0.132602971552
5993.1,0.12598710214
5993.11,0.121042707657
5993.12,0.118617547943
5993.13,0.118267806839
5993.14,0.11913200385
5993.15,0.121183379449
5993.16,0.125726040222
5993.17,0.134088206038
5993.18,0.145986327124
5993.19,0.158564306675
5993.2,0.16582422896
5993.21,0.162916508776
5993.22,0.152522500372
5993.23,0.141799947757
5993.24,0.135072229299
5993.25,0.132270647668
5993.26,0.131149166227
5993.27,0.13081309497
5993.28,0.133093827814
5993.29,0.139670380713
5993.3,0.149825153331
5993.31,0.16222266858
5993.32,0.177718765343
5993.33,0.198249178041
5993.34,0.223930290391
5993.35,0.252531704089
5993.36,0.279442123045
5993.37,0.297120262705
5993.38,0.297998087257
5993.39,0.280598556597
5993.4,0.251030520563
5993.41,0.218372493153
5993.42,0.189923065945
5993.43,0.169270342719
5993.44,0.156984529352
5993.45,0.152288349216
5993.46,0.15453143624
5993.47,0.164288399885
5993.48,0.18312391524
5993.49,0.211071017634
5993.5,0.242136640213
5993.51,0.26332997326
5993.52,0.266361123438
5993.53,0.25947272103
5993.54,0.258354046934
5993.55,0.271619691852
5993.56,0.297562602791
