nu,CH4/x=0.000001/T=253K/P=0.53atm/L=1000000cm
6166.0,0.0
6166.01,0.000119302406323
6166.02,0.000123539779427
6166.03,0.00013042133097
6166.04,0.000140390827266
6166.05,0.000154440643341
6166.06,0.000174364302467
6166.07,0.000202422041917
6166.08,0.000240428765218
6166.09,0.000288270902505
6166.1,0.000343070474605
6166.11,0.000401240776135
6166.12,0.000460670600734
6166.13,0.000516644256777
6166.14,0.000554234148115
6166.15,0.00055164441942
6166.16,0.000501479324622
6166.17,0.000423493851096
6166.18,0.000346178394674
6166.19,0.000285343233154
6166.2,0.000243321632293
6166.21,0.000216999229415
6166.22,0.000203012232182
6166.23,0.000199396196035
6166.24,0.000205554433058
6166.25,0.000221987152319
6166.26,0.00025039042864
6166.27,0.000293968183448
6166.28,0.000356412030549
6166.29,0.00043597467629
6166.3,0.000514390533873
6166.31,0.000555459375839
6166.32,0.000533293030254
6166.33,0.000462262945331
6166.34,0.000379882404086
6166.35,0.000311529380452
6166.36,0.000262806830303
6166.37,0.000230418635771
6166.38,0.00021141144237
6166.39,0.000204798312973
6166.4,0.000208276973111
6166.41,0.000214539406519
6166.42,0.000213333659288
6166.43,0.000201943712715
6166.44,0.000188221836855
6166.45,0.00018017787387
6166.46,0.000179647230774
6166.47,0.000184140368107
6166.48,0.000190744856046
6166.49,0.000199627805063
6166.5,0.000214226683991
6166.51,0.000237513681004
6166.52,0.000267743631553
6166.53,0.000297501351036
6166.54,0.000319959836157
6166.55,0.000335976107516
6166.56,0.000347646623772
6166.57,0.000347966423773
6166.58,0.000328675544744
6166.59,0.000294917835201
6166.6,0.000260492282255
6166.61,0.000233415632462
6166.62,0.000212866908539
6166.63,0.000195747518148
6166.64,0.000181836605694
6166.65,0.000172805569846
6166.66,0.000169710006711
6166.67,0.000172712452269
6166.68,0.000181549277415
6166.69,0.000195016128959
6166.7,0.00020975981677
6166.71,0.000221203937887
6166.72,0.000228082094598
6166.73,0.000234446128389
6166.74,0.00024569033967
6166.75,0.000265312376051
6166.76,0.000295553024404
6166.77,0.000339227073037
6166.78,0.000401281785146
6166.79,0.000490217063922
6166.8,0.000619860118918
6166.81,0.000811299300649
6166.82,0.00109173198443
6166.83,0.00148136766344
6166.84,0.00195855822624
6166.85,0.00240562060982
6166.86,0.00259121983973
6166.87,0.00236156292863
6166.88,0.00187692190664
6166.89,0.00141539211975
6166.9,0.00109724087595
6166.91,0.000911887321649
6166.92,0.000818630822179
6166.93,0.000784121100302
6166.94,0.000790530950865
6166.95,0.000839146331355
6166.96,0.000944720864309
6166.97,0.00111897145771
6166.98,0.00134392302652
6166.99,0.00154804402808
6167.0,0.00164518024576
6167.01,0.00162907832966
6167.02,0.00156924049205
6167.03,0.00150943841379
6167.04,0.00142726529757
6167.05,0.00128837162888
6167.06,0.00111443835918
6167.07,0.000965464796261
6167.08,0.00088306764755
6167.09,0.000883263691508
6167.1,0.000975026881731
6167.11,0.0011551142012
6167.12,0.00135945287523
6167.13,0.00144180195134
6167.14,0.00131668759595
6167.15,0.00108113425855
6167.16,0.000872770604635
6167.17,0.000741605486899
6167.18,0.000681058679658
6167.19,0.000677225605314
6167.2,0.000724781067096
6167.21,0.000828576362206
6167.22,0.00100265730109
6167.23,0.00126758509064
6167.24,0.00164276557025
6167.25,0.00212224877791
6167.26,0.00261117570622
6167.27,0.00287702972868
6167.28,0.00271855638599
6167.29,0.00222975087884
6167.3,0.00168408717532
6167.31,0.00124842558575
6167.32,0.000945260739085
6167.33,0.000743158179132
6167.34,0.000608636233836
6167.35,0.000517350369447
6167.36,0.000453416494958
6167.37,0.000407433452363
6167.38,0.000374325648181
6167.39,0.00035196470078
6167.4,0.000340073369778
6167.41,0.000337888113259
6167.42,0.000343480653473
6167.43,0.000357249803148
6167.44,0.000384725626359
6167.45,0.000433642356057
6167.46,0.000506462177963
6167.47,0.000587932262747
6167.48,0.000638015440456
6167.49,0.000620700488944
6167.5,0.000547346166001
6167.51,0.000461640488546
6167.52,0.000393774616485
6167.53,0.000350567634215
6167.54,0.000328760751541
6167.55,0.000324328689918
6167.56,0.000335183064668
6167.57,0.000361007212829
6167.58,0.000401592144853
6167.59,0.000454859048522
6167.6,0.000518069207078
6167.61,0.000592039409449
6167.62,0.000676892508402
6167.63,0.000757396906549
6167.64,0.000805222454164
6167.65,0.000811761970253
6167.66,0.00080570356671
6167.67,0.000826960094703
6167.68,0.000901100721627
6167.69,0.00103375013979
6167.7,0.00120127100561
6167.71,0.0013511164545
6167.72,0.00145527606755
6167.73,0.0015573026632
6167.74,0.00170896638087
6167.75,0.00186851928713
6167.76,0.00190923949957
6167.77,0.00176952900026
6167.78,0.00154027104429
6167.79,0.00135256640908
6167.8,0.00126971560565
6167.81,0.00128782919461
6167.82,0.00135720768178
6167.83,0.00141023773511
6167.84,0.00142750298105
6167.85,0.0014624181255
6167.86,0.00156580066527
6167.87,0.00170932951533
6167.88,0.00179434011145
6167.89,0.00174011913505
6167.9,0.00154546493999
6167.91,0.00127211539551
6167.92,0.00100068738415
6167.93,0.000782063509748
6167.94,0.000624710673332
6167.95,0.000516569298887
6167.96,0.000443550064062
6167.97,0.000395319816416
6167.98,0.00036537788106
6167.99,0.000350085427364
6168.0,0.000347945533315
6168.01,0.000359335747743
6168.02,0.000386548273489
6168.03,0.000433555184824
6168.04,0.000504532316202
6168.05,0.000598910751255
6168.06,0.000701625195841
6168.07,0.000779008756894
6168.08,0.000801241512605
6168.09,0.000774784022266
6168.1,0.000731180800278
6168.11,0.000688214434451
6168.12,0.000648314843955
6168.13,0.000621794749966
6168.14,0.00062255896478
6168.15,0.000648819073446
6168.16,0.000680172299871
6168.17,0.000695735893288
6168.18,0.00069853406114
6168.19,0.000714816350484
6168.2,0.000772267292101
6168.21,0.000887370399734
6168.22,0.00105953609105
6168.23,0.00125438688068
6168.24,0.00139100644531
6168.25,0.00138512012407
6168.26,0.00123290264432
6168.27,0.00101391566669
6168.28,0.000808294584556
6168.29,0.000649722032576
6168.3,0.000537126014654
6168.31,0.000456233636268
6168.32,0.000392497544637
6168.33,0.00033835371231
6168.34,0.000293229926263
6168.35,0.000258177840027
6168.36,0.000232888244721
6168.37,0.000216234866901
6168.38,0.000207162943146
6168.39,0.000205020892131
6168.4,0.000210147694777
6168.41,0.000224223271531
6168.42,0.000249309749395
6168.43,0.000285857012329
6168.44,0.00032946264888
6168.45,0.000369008990256
6168.46,0.000392487446902
6168.47,0.000394246713093
6168.48,0.00037251225626
6168.49,0.000330460411198
6168.5,0.000280077276313
6168.51,0.000234622580346
6168.52,0.000200778116582
6168.53,0.000179085846882
6168.54,0.000166532377017
6168.55,0.000157689635046
6168.56,0.00014737459396
6168.57,0.000134692268701
6168.58,0.000122257830238
6168.59,0.000111984818106
6168.6,0.000104067695805
6168.61,9.83170033035e-05
6168.62,9.46675180623e-05
6168.63,9.29650711133e-05
6168.64,9.27921179192e-05
6168.65,9.3386418782e-05
6168.66,9.40190915427e-05
6168.67,9.46870542085e-05
6168.68,9.59399634221e-05
6168.69,9.82087942762e-05
6168.7,0.000101720901767
6168.71,0.000106662522107
6168.72,0.000113243643939
6168.73,0.000121758215412
6168.74,0.000132643017044
6168.75,0.00014646656752
6168.76,0.000163721932546
6168.77,0.000184430158457
6168.78,0.000208389206149
6168.79,0.000236760054771
6168.8,0.00027290850999
6168.81,0.00032144552652
6168.82,0.000388095371054
6168.83,0.000481131065261
6168.84,0.000613790617428
6168.85,0.000808330338203
6168.86,0.00110042516776
6168.87,0.00153464656473
6168.88,0.00212167939526
6168.89,0.00272587802852
6168.9,0.00301776078503
6168.91,0.00277366167691
6168.92,0.0021817661556
6168.93,0.00158066910651
6168.94,0.00112756606735
6168.95,0.000820831721157
6168.96,0.000616814492615
6168.97,0.000478487453664
6168.98,0.000381795366321
