nu,CH4/x=0.000001/T=253K/P=0.53atm/L=1000000cm
6366.0,0.0
6366.01,2.05240302041e-06
6366.02,1.98163423995e-06
6366.03,1.76888763135e-06
6366.04,1.46993887508e-06
6366.05,1.17290893556e-06
6366.06,9.32147304597e-07
6366.07,7.56215413131e-07
6366.08,6.33524845022e-07
6366.09,5.5053352258e-07
6366.1,4.96809364247e-07
6366.11,4.64524166577e-07
6366.12,4.47193430862e-07
6366.13,4.39499875067e-07
6366.14,4.3668117768e-07
6366.15,4.33288880224e-07
6366.16,4.24496154531e-07
6366.17,4.0849953616e-07
6366.18,3.87096258312e-07
6366.19,3.64356465987e-07
6366.2,3.4358157159e-07
6366.21,3.25985005172e-07
6366.22,3.12557278647e-07
6366.23,3.05241058968e-07
6366.24,3.06246127544e-07
6366.25,3.16618547821e-07
6366.26,3.34394450237e-07
6366.27,3.52817968867e-07
6366.28,3.62651253796e-07
6366.29,3.6140577391e-07
6366.3,3.57755698082e-07
6366.31,3.6342310709e-07
6366.32,3.85949710139e-07
6366.33,4.28606339252e-07
6366.34,4.9128594322e-07
6366.35,5.70718390178e-07
6366.36,6.58052778188e-07
6366.37,7.28493962624e-07
6366.38,7.45634480455e-07
6366.39,7.00743360083e-07
6366.4,6.29112123525e-07
6366.41,5.7255631932e-07
6366.42,5.51178222381e-07
6366.43,5.68110073943e-07
6366.44,6.19092883994e-07
6366.45,6.96222383634e-07
6366.46,7.93930337606e-07
6366.47,9.15873300542e-07
6366.48,1.06531074989e-06
6366.49,1.21727181394e-06
6366.5,1.30625355235e-06
6366.51,1.26972999118e-06
6366.52,1.11894120989e-06
6366.53,9.30907506523e-07
6366.54,7.7184007302e-07
6366.55,6.63997882371e-07
6366.56,6.02917522247e-07
6366.57,5.75354070712e-07
6366.58,5.65400084383e-07
6366.59,5.59063728906e-07
6366.6,5.50739041373e-07
6366.61,5.44375192476e-07
6366.62,5.47315856702e-07
6366.63,5.63403690714e-07
6366.64,5.94196984394e-07
6366.65,6.46052466959e-07
6366.66,7.30966694848e-07
6366.67,8.61476335876e-07
6366.68,1.04505177925e-06
6366.69,1.27284562398e-06
6366.7,1.50021794207e-06
6366.71,1.642975992e-06
6366.72,1.62724181894e-06
6366.73,1.45947796037e-06
6366.74,1.2191878642e-06
6366.75,9.85424361798e-07
6366.76,7.95359058901e-07
6366.77,6.53136963245e-07
6366.78,5.49302229814e-07
6366.79,4.7217102785e-07
6366.8,4.13331714417e-07
6366.81,3.6889192657e-07
6366.82,3.37113384017e-07
6366.83,3.16801751279e-07
6366.84,3.07537269438e-07
6366.85,3.09200378891e-07
6366.86,3.19584790084e-07
6366.87,3.31652541295e-07
6366.88,3.36129137115e-07
6366.89,3.30151737773e-07
6366.9,3.18594329902e-07
6366.91,3.06948889992e-07
6366.92,2.98734933637e-07
6366.93,2.95798202307e-07
6366.94,2.98787288283e-07
6366.95,3.08900911539e-07
6366.96,3.28366999419e-07
6366.97,3.60009967572e-07
6366.98,4.0745537417e-07
6366.99,4.75558029915e-07
6367.0,5.70218923333e-07
6367.01,6.96443839962e-07
6367.02,8.53406665143e-07
6367.03,1.02831206594e-06
6367.04,1.19563684686e-06
6367.05,1.32381965106e-06
6367.06,1.38252467036e-06
6367.07,1.35403351386e-06
6367.08,1.25276937116e-06
6367.09,1.12321767711e-06
6367.1,1.00527361203e-06
6367.11,9.11816282643e-07
6367.12,8.32736170151e-07
6367.13,7.46616609235e-07
6367.14,6.4391245422e-07
6367.15,5.38793626687e-07
6367.16,4.49862413905e-07
6367.17,3.84215704461e-07
6367.18,3.40332268066e-07
6367.19,3.14773132936e-07
6367.2,3.05340928923e-07
6367.21,3.1190866803e-07
6367.22,3.35960012974e-07
6367.23,3.77349782412e-07
6367.24,4.26238917382e-07
6367.25,4.57533811034e-07
6367.26,4.47542782227e-07
6367.27,4.01778510675e-07
6367.28,3.47801533534e-07
6367.29,3.0521532048e-07
6367.3,2.76707320836e-07
6367.31,2.57320055538e-07
6367.32,2.4286000036e-07
6367.33,2.31636538203e-07
6367.34,2.2393374142e-07
6367.35,2.21540803005e-07
6367.36,2.2639156508e-07
6367.37,2.39547120322e-07
6367.38,2.61084610857e-07
6367.39,2.9037026274e-07
6367.4,3.25601981482e-07
6367.41,3.59370880065e-07
6367.42,3.7490417655e-07
6367.43,3.58934134294e-07
6367.44,3.1958438629e-07
6367.45,2.77201460606e-07
6367.46,2.44306213465e-07
6367.47,2.22772727787e-07
6367.48,2.10430638188e-07
6367.49,2.05132727534e-07
6367.5,2.05798921606e-07
6367.51,2.12508855535e-07
6367.52,2.2629395968e-07
6367.53,2.48597386703e-07
6367.54,2.80002841168e-07
6367.55,3.17935784905e-07
6367.56,3.54960968979e-07
6367.57,3.80624689594e-07
6367.58,3.86835435781e-07
6367.59,3.73172349315e-07
6367.6,3.48319670072e-07
6367.61,3.24945755191e-07
6367.62,3.11973244812e-07
6367.63,3.12541371413e-07
6367.64,3.26594193583e-07
6367.65,3.51559464409e-07
6367.66,3.80108224547e-07
6367.67,4.01107511545e-07
6367.68,4.08295594262e-07
6367.69,4.07063587724e-07
6367.7,4.08836867036e-07
6367.71,4.22538002899e-07
6367.72,4.51971817926e-07
6367.73,4.92376658299e-07
6367.74,5.26370212225e-07
6367.75,5.32169898531e-07
6367.76,5.03317461803e-07
6367.77,4.54246357338e-07
6367.78,4.04066593601e-07
6367.79,3.64001464033e-07
6367.8,3.37845530801e-07
6367.81,3.24811605694e-07
6367.82,3.21832167571e-07
6367.83,3.26537457279e-07
6367.84,3.38153884552e-07
6367.85,3.55621548953e-07
6367.86,3.77056727548e-07
6367.87,4.01288744477e-07
6367.88,4.26130914857e-07
6367.89,4.44832508525e-07
6367.9,4.48750301524e-07
6367.91,4.36251739375e-07
6367.92,4.16312115794e-07
6367.93,4.00655915427e-07
6367.94,3.95233182177e-07
6367.95,3.98708679451e-07
6367.96,4.06573134179e-07
6367.97,4.177200243e-07
6367.98,4.35937317157e-07
6367.99,4.65769701356e-07
