nu,CH4/x=0.000001/T=253K/P=0.53atm/L=1000000cm
6566.0,0.0
6566.01,1.91383555662e-06
6566.02,2.28906431276e-06
6566.03,2.80169573095e-06
6566.04,3.44015558768e-06
6566.05,4.11659746038e-06
6566.06,4.67034007297e-06
6566.07,4.97199650253e-06
6566.08,5.00581500964e-06
6566.09,4.79907667258e-06
6566.1,4.37270772721e-06
6566.11,3.8146097826e-06
6566.12,3.27495753335e-06
6566.13,2.86037093685e-06
6566.14,2.58797364936e-06
6566.15,2.42116127533e-06
6566.16,2.32369230091e-06
6566.17,2.28083734021e-06
6566.18,2.27341306028e-06
6566.19,2.25600935993e-06
6566.2,2.18471941096e-06
6566.21,2.05808386307e-06
6566.22,1.91323588479e-06
6566.23,1.79340415393e-06
6566.24,1.72870953551e-06
6566.25,1.73297765403e-06
6566.26,1.80286728932e-06
6566.27,1.91191808303e-06
6566.28,2.01979827309e-06
6566.29,2.11689994376e-06
6566.3,2.24646114894e-06
6566.31,2.46611901517e-06
6566.32,2.81670659179e-06
6566.33,3.3254543955e-06
6566.34,4.00550867244e-06
6566.35,4.82407241875e-06
6566.36,5.67655794126e-06
6566.37,6.46485330586e-06
6566.38,7.21007065282e-06
6566.39,7.94867367311e-06
6566.4,8.51672668253e-06
6566.41,8.66343845333e-06
6566.42,8.43269310701e-06
6566.43,8.2077724169e-06
6566.44,8.37140604278e-06
6566.45,9.0473534829e-06
6566.46,9.9889260946e-06
6566.47,1.0584395043e-05
6566.48,1.02464577566e-05
6566.49,8.98807932229e-06
6566.5,7.36712580229e-06
6566.51,5.89872401251e-06
6566.52,4.77265310672e-06
6566.53,3.96868132675e-06
6566.54,3.41017329967e-06
6566.55,3.02578323632e-06
6566.56,2.76747804778e-06
6566.57,2.61033165062e-06
6566.58,2.53657704606e-06
6566.59,2.52910230261e-06
6566.6,2.57947187054e-06
6566.61,2.69208710637e-06
6566.62,2.87552047544e-06
6566.63,3.12496721884e-06
6566.64,3.42880299272e-06
6566.65,3.811228852e-06
6566.66,4.34661835527e-06
6566.67,5.13103128321e-06
6566.68,6.27280400437e-06
6566.69,7.90360268971e-06
6566.7,1.01553209535e-05
6566.71,1.3033696006e-05
6566.72,1.61587072536e-05
6566.73,1.86001615605e-05
6566.74,1.92882753056e-05
6566.75,1.78839920755e-05
6566.76,1.50915396267e-05
6566.77,1.20004178077e-05
6566.78,9.33166006177e-06
6566.79,7.2937789851e-06
6566.8,5.81176170704e-06
6566.81,4.73485833715e-06
6566.82,3.9372619401e-06
6566.83,3.34399154759e-06
6566.84,2.91380161311e-06
6566.85,2.62194941215e-06
6566.86,2.45625152578e-06
6566.87,2.41358294368e-06
6566.88,2.48211029305e-06
6566.89,2.60044547756e-06
6566.9,2.64224922368e-06
6566.91,2.51239589954e-06
6566.92,2.24977063114e-06
6566.93,1.96593205146e-06
6566.94,1.74050007566e-06
6566.95,1.59361488826e-06
6566.96,1.49907525755e-06
6566.97,1.41688049019e-06
6566.98,1.33283714726e-06
6566.99,1.26075917788e-06
6567.0,1.21448897427e-06
6567.01,1.19949065936e-06
6567.02,1.21731396921e-06
6567.03,1.25953645651e-06
6567.04,1.30097337774e-06
6567.05,1.31127667188e-06
6567.06,1.2768325345e-06
6567.07,1.20868210726e-06
6567.08,1.13148169407e-06
6567.09,1.06617985775e-06
6567.1,1.02454395358e-06
6567.11,1.01493637505e-06
6567.12,1.04546523117e-06
6567.13,1.11794189157e-06
6567.14,1.21951867859e-06
6567.15,1.32140369934e-06
6567.16,1.3880517551e-06
6567.17,1.39944663052e-06
6567.18,1.37192594056e-06
6567.19,1.34012301693e-06
6567.2,1.32150440461e-06
6567.21,1.31009140075e-06
6567.22,1.29484398004e-06
