nu,CH4/x=0.000001/T=253K/P=0.53atm/L=1000000cm
6466.0,0.0
6466.01,6.80036235611e-07
6466.02,7.17425541638e-07
6466.03,7.04851343146e-07
6466.04,6.4813849449e-07
6466.05,5.68478684163e-07
6466.06,4.86294007769e-07
6466.07,4.14956325145e-07
6466.08,3.60422369019e-07
6466.09,3.22378767479e-07
6466.1,2.96589479079e-07
6466.11,2.77669092401e-07
6466.12,2.62962289209e-07
6466.13,2.53991597623e-07
6466.14,2.52645320943e-07
6466.15,2.56513408915e-07
6466.16,2.57921539445e-07
6466.17,2.50434048329e-07
6466.18,2.36556697178e-07
6466.19,2.23305580369e-07
6466.2,2.1337173939e-07
6466.21,2.05116792653e-07
6466.22,1.97632401089e-07
6466.23,1.92168989729e-07
6466.24,1.89922947568e-07
6466.25,1.90924269447e-07
6466.26,1.94247440808e-07
6466.27,1.98452647363e-07
6466.28,2.02709944178e-07
6466.29,2.0751385251e-07
6466.3,2.13712681733e-07
6466.31,2.21840242027e-07
6466.32,2.32585742373e-07
6466.33,2.46862623125e-07
6466.34,2.65270560234e-07
6466.35,2.87533760734e-07
6466.36,3.1268426779e-07
6466.37,3.40601298891e-07
6466.38,3.73071690794e-07
6466.39,4.12979812829e-07
6466.4,4.61747496271e-07
6466.41,5.16712426364e-07
6466.42,5.74416644015e-07
6466.43,6.36986412012e-07
6466.44,7.07929577924e-07
6466.45,7.79565328181e-07
6466.46,8.36256214246e-07
6466.47,8.79858632818e-07
6466.48,9.35320517584e-07
6466.49,1.02743744826e-06
6466.5,1.17137728405e-06
6466.51,1.38156876217e-06
6466.52,1.67981837659e-06
6466.53,2.09911534001e-06
6466.54,2.68660661034e-06
6466.55,3.5009461534e-06
6466.56,4.57903023799e-06
6466.57,5.83449596456e-06
6466.58,6.92698352038e-06
6466.59,7.34523524343e-06
6466.6,6.85108743592e-06
6466.61,5.74814596864e-06
6466.62,4.53912994375e-06
6466.63,3.52474275988e-06
6466.64,2.77085693622e-06
6466.65,2.23321393047e-06
6466.66,1.84466815761e-06
6466.67,1.55402618574e-06
6466.68,1.33344009159e-06
6466.69,1.16820246411e-06
6466.7,1.05029986221e-06
6466.71,9.77036588894e-07
6466.72,9.47435602914e-07
6466.73,9.58715778216e-07
6466.74,1.00171356347e-06
6466.75,1.05346189001e-06
6466.76,1.07709837347e-06
6466.77,1.0432884466e-06
6466.78,9.56870322184e-07
6466.79,8.51398214206e-07
6466.8,7.59621707627e-07
6466.81,6.96937970813e-07
6466.82,6.62131249375e-07
6466.83,6.42784602935e-07
6466.84,6.25368066928e-07
